|cve-ids|ex_url|types
291|CVE-2012-0811|http://www.openwall.com/lists/oss-security/2012/01/26/5|
292|CVE-2012-0812,CVE-2012-0811|http://www.openwall.com/lists/oss-security/2012/01/27/5|Mailing List,Third Party Advisory
293|CVE-2014-3621|http://www.openwall.com/lists/oss-security/2014/09/16/10|Patch,Mailing List,Third Party Advisory
294|CVE-2011-4624|http://www.openwall.com/lists/oss-security/2011/12/23/2|Exploit
295|CVE-2014-7144|http://www.openwall.com/lists/oss-security/2014/09/25/51|Patch
296|CVE-2014-6394|http://www.openwall.com/lists/oss-security/2014/09/24/1|
297|CVE-2014-6394,CVE-2014-7205|http://www.openwall.com/lists/oss-security/2014/09/30/10|Mailing List,Third Party Advisory
298|CVE-2014-6414|http://www.openwall.com/lists/oss-security/2014/09/15/5|Mailing List,Third Party Advisory
299|CVE-2014-7283|http://www.openwall.com/lists/oss-security/2014/10/01/29|Mailing List,Third Party Advisory
300|CVE-2014-7284|http://www.openwall.com/lists/oss-security/2014/10/01/19|
301|CVE-2014-7189|http://www.openwall.com/lists/oss-security/2014/09/26/28|
302|CVE-2014-8086|http://www.openwall.com/lists/oss-security/2014/10/09/25|Mailing List,Third Party Advisory
303|CVE-2014-8088|http://www.openwall.com/lists/oss-security/2014/10/10/5|
304|CVE-2014-7204|http://www.openwall.com/lists/oss-security/2014/09/29/40|Mailing List,Third Party Advisory
305|CVE-2010-5077|http://www.openwall.com/lists/oss-security/2012/03/26/5|
306|CVE-2011-4103|http://www.openwall.com/lists/oss-security/2011/11/01/10|
307|CVE-2011-4104|http://www.openwall.com/lists/oss-security/2011/11/02/1|Patch
308|CVE-2011-4104|http://www.openwall.com/lists/oss-security/2011/11/02/7|
309|CVE-2013-1436|http://www.openwall.com/lists/oss-security/2013/07/26/5|Exploit
310|CVE-2014-0476|http://www.openwall.com/lists/oss-security/2014/06/04/9|Exploit
311|CVE-2014-3474,CVE-2014-3473,CVE-2014-8578,CVE-2014-3475|http://www.openwall.com/lists/oss-security/2014/07/08/6|Patch,Mailing List
312|CVE-2014-3675,CVE-2014-3677,CVE-2014-3676|http://www.openwall.com/lists/oss-security/2014/10/13/4|Patch,Mailing List,Exploit,Third Party Advisory
313|CVE-2014-3686|http://www.openwall.com/lists/oss-security/2014/10/09/28|
314|CVE-2010-4820|http://www.openwall.com/lists/oss-security/2012/01/04/7|
315|CVE-2014-8750|http://www.openwall.com/lists/oss-security/2014/10/14/9|Mailing List,Third Party Advisory
316|CVE-2014-8325|http://www.openwall.com/lists/oss-security/2014/10/17/11|
317|CVE-2014-3704|http://www.openwall.com/lists/oss-security/2014/10/15/23|Exploit
318|CVE-2014-7960|http://www.openwall.com/lists/oss-security/2014/10/07/39|
319|CVE-2014-7960|http://www.openwall.com/lists/oss-security/2014/10/08/7|
320|CVE-2014-7968|http://www.openwall.com/lists/oss-security/2014/10/08/16|
321|CVE-2014-7968|http://www.openwall.com/lists/oss-security/2014/10/08/18|
322|CVE-2014-7968|http://www.openwall.com/lists/oss-security/2014/10/08/6|
323|CVE-2014-7970|http://www.openwall.com/lists/oss-security/2014/10/08/21|Patch,Mailing List,Third Party Advisory
324|CVE-2014-7975|http://www.openwall.com/lists/oss-security/2014/10/08/22|Mailing List,Third Party Advisory
325|CVE-2014-3137|http://www.openwall.com/lists/oss-security/2014/05/01/15|
326|CVE-2014-7185|http://www.openwall.com/lists/oss-security/2014/09/23/5|Exploit
327|CVE-2014-7185|http://www.openwall.com/lists/oss-security/2014/09/25/47|
328|CVE-2014-8761,CVE-2014-8764,CVE-2014-8763,CVE-2014-8762|http://www.openwall.com/lists/oss-security/2014/10/13/3|
329|CVE-2014-8761,CVE-2014-8764,CVE-2014-8763,CVE-2014-8762|http://www.openwall.com/lists/oss-security/2014/10/16/9|
330|CVE-2014-6387|http://www.openwall.com/lists/oss-security/2014/09/12/11|
331|CVE-2014-6387|http://www.openwall.com/lists/oss-security/2014/09/12/14|
332|CVE-2014-6387|http://www.openwall.com/lists/oss-security/2014/09/13/1|
333|CVE-2014-2015|http://www.openwall.com/lists/oss-security/2014/02/18/3|Patch
334|CVE-2014-0204|http://www.openwall.com/lists/oss-security/2014/05/21/3|Patch,Mailing List,Third Party Advisory
335|CVE-2014-4975|http://www.openwall.com/lists/oss-security/2014/07/09/13|Mailing List
336|CVE-2014-5272|http://www.openwall.com/lists/oss-security/2014/08/16/6|
337|CVE-2014-7842,CVE-2010-5313|http://www.openwall.com/lists/oss-security/2014/11/13/7|Patch,Vendor Advisory
338|CVE-2014-3645,CVE-2014-3646,CVE-2014-3610,CVE-2014-3611,CVE-2014-3647|http://www.openwall.com/lists/oss-security/2014/10/24/9|Patch,Mailing List,Third Party Advisory
339|CVE-2014-3660|http://www.openwall.com/lists/oss-security/2014/10/17/7|Patch
340|CVE-2014-3209|http://www.openwall.com/lists/oss-security/2014/05/03/2|
341|CVE-2014-3209|http://www.openwall.com/lists/oss-security/2014/05/05/4|
342|CVE-2014-7207|http://www.openwall.com/lists/oss-security/2014/11/02/1|
343|CVE-2012-2298,CVE-2012-2154,CVE-2012-2297,CVE-2012-2301,CVE-2012-2302,CVE-2012-2299,CVE-2012-2296,CVE-2012-2309,CVE-2012-2306,CVE-2012-2155,CVE-2012-2300,CVE-2012-2308,CVE-2012-2305,CVE-2012-2307,CVE-2012-2310,CVE-2012-2304,CVE-2012-2303|http://www.openwall.com/lists/oss-security/2012/05/03/1|
344|CVE-2012-2298,CVE-2012-2154,CVE-2012-2297,CVE-2012-2301,CVE-2012-2302,CVE-2012-2299,CVE-2012-2296,CVE-2012-2309,CVE-2012-2306,CVE-2012-2155,CVE-2012-2300,CVE-2012-2308,CVE-2012-2305,CVE-2012-2307,CVE-2012-2310,CVE-2012-2304,CVE-2012-2303|http://www.openwall.com/lists/oss-security/2012/05/03/2|
345|CVE-2014-2037|http://www.openwall.com/lists/oss-security/2014/02/18/1|
346|CVE-2014-2037|http://www.openwall.com/lists/oss-security/2014/02/20/2|
347|CVE-2014-2667|http://www.openwall.com/lists/oss-security/2014/03/28/15|
348|CVE-2014-2667|http://www.openwall.com/lists/oss-security/2014/03/29/5|
349|CVE-2014-2667|http://www.openwall.com/lists/oss-security/2014/03/30/4|
350|CVE-2014-3755,CVE-2014-3756|http://www.openwall.com/lists/oss-security/2014/05/15/1|
351|CVE-2014-3755,CVE-2014-3756|http://www.openwall.com/lists/oss-security/2014/05/15/4|
352|CVE-2014-3634,CVE-2014-3683|http://www.openwall.com/lists/oss-security/2014/09/30/15|
353|CVE-2014-3634,CVE-2014-3683|http://www.openwall.com/lists/oss-security/2014/10/03/1|Patch
354|CVE-2014-3688|http://www.openwall.com/lists/oss-security/2014/11/13/8|
355|CVE-2014-3690|http://www.openwall.com/lists/oss-security/2014/10/21/4|Patch,Mailing List,Third Party Advisory
356|CVE-2014-3690|http://www.openwall.com/lists/oss-security/2014/10/29/7|Patch,Mailing List,Third Party Advisory
357|CVE-2014-8598|http://www.openwall.com/lists/oss-security/2014/11/07/28|
358|CVE-2014-8481,CVE-2014-8480|http://www.openwall.com/lists/oss-security/2014/10/23/7|Exploit
359|CVE-2014-8559|http://www.openwall.com/lists/oss-security/2014/10/30/7|Mailing List,Third Party Advisory
360|CVE-2014-9015,CVE-2014-9016|http://www.openwall.com/lists/oss-security/2014/11/20/21|Mailing List,Third Party Advisory
361|CVE-2014-9015,CVE-2014-9016|http://www.openwall.com/lists/oss-security/2014/11/20/3|Mailing List,Third Party Advisory
362|CVE-2014-9016|http://www.openwall.com/lists/oss-security/2014/11/21/1|Mailing List,Third Party Advisory
363|CVE-2014-8709|http://www.openwall.com/lists/oss-security/2014/11/09/1|
364|CVE-2014-7841|http://www.openwall.com/lists/oss-security/2014/11/13/6|
365|CVE-2014-7843|http://www.openwall.com/lists/oss-security/2014/11/13/5|
366|CVE-2014-7826,CVE-2014-7825|http://www.openwall.com/lists/oss-security/2014/11/06/11|Patch,Mailing List,Third Party Advisory
367|CVE-2014-9093|http://www.openwall.com/lists/oss-security/2014/11/19/3|Mailing List,Third Party Advisory
368|CVE-2014-9093|http://www.openwall.com/lists/oss-security/2014/11/26/7|Mailing List,Third Party Advisory
369|CVE-2014-8369|http://www.openwall.com/lists/oss-security/2014/10/24/7|Patch,Mailing List,Third Party Advisory
370|CVE-2014-9089|http://www.openwall.com/lists/oss-security/2014/11/25/14|
371|CVE-2014-9089|http://www.openwall.com/lists/oss-security/2014/11/26/6|
372|CVE-2014-9090|http://www.openwall.com/lists/oss-security/2014/11/26/5|
373|CVE-2014-8986|http://www.openwall.com/lists/oss-security/2014/11/15/1|
374|CVE-2014-8986,CVE-2014-8987|http://www.openwall.com/lists/oss-security/2014/11/15/2|
375|CVE-2014-8986,CVE-2014-8987|http://www.openwall.com/lists/oss-security/2014/11/15/3|
376|CVE-2014-8986|http://www.openwall.com/lists/oss-security/2014/11/19/20|
377|CVE-2014-8988|http://www.openwall.com/lists/oss-security/2014/11/15/6|
378|CVE-2014-8989|http://www.openwall.com/lists/oss-security/2014/11/20/4|
379|CVE-2014-8991|http://www.openwall.com/lists/oss-security/2014/11/19/17|Mailing List,Third Party Advisory
