|cve-ids|ex_url|types|solution
0|CVE-2018-2789|http://www.securityfocus.com/bid/103851|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
1|CVE-2018-2790|http://www.securityfocus.com/bid/103877|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
2|CVE-2018-2791|http://www.securityfocus.com/bid/103800|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
3|CVE-2018-2792|http://www.securityfocus.com/bid/103889|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
4|CVE-2018-2793|http://www.securityfocus.com/bid/103899|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
5|CVE-2018-2794|http://www.securityfocus.com/bid/103817|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
6|CVE-2018-2795|http://www.securityfocus.com/bid/103847|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
7|CVE-2018-2796|http://www.securityfocus.com/bid/103868|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
8|CVE-2018-2797|http://www.securityfocus.com/bid/103846|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
9|CVE-2018-2798|http://www.securityfocus.com/bid/103841|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
10|CVE-2018-2799|http://www.securityfocus.com/bid/103872|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
11|CVE-2018-2800|http://www.securityfocus.com/bid/103849|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
12|CVE-2018-2801|http://www.securityfocus.com/bid/103819|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
13|CVE-2018-2802|http://www.securityfocus.com/bid/103909|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
14|CVE-2018-2803|http://www.securityfocus.com/bid/103912|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
15|CVE-2018-2804|http://www.securityfocus.com/bid/103842|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
16|CVE-2018-2805|http://www.securityfocus.com/bid/103831|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
17|CVE-2018-2806|http://www.securityfocus.com/bid/103816|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
18|CVE-2018-2807|http://www.securityfocus.com/bid/103870|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
19|CVE-2018-2808|http://www.securityfocus.com/bid/103881|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
20|CVE-2018-2809|http://www.securityfocus.com/bid/103890|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
21|CVE-2018-2810|http://www.securityfocus.com/bid/103783|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
22|CVE-2018-2811|http://www.securityfocus.com/bid/103810|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
23|CVE-2018-2812|http://www.securityfocus.com/bid/103836|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
24|CVE-2018-2813|http://www.securityfocus.com/bid/103830|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
25|CVE-2018-2814|http://www.securityfocus.com/bid/103798|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
26|CVE-2018-2815|http://www.securityfocus.com/bid/103848|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
27|CVE-2018-2816|http://www.securityfocus.com/bid/103789|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
28|CVE-2018-2817|http://www.securityfocus.com/bid/103818|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
29|CVE-2018-2818|http://www.securityfocus.com/bid/103824|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
30|CVE-2018-2819|http://www.securityfocus.com/bid/103814|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
31|CVE-2018-2820|http://www.securityfocus.com/bid/103893|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
32|CVE-2018-2821|http://www.securityfocus.com/bid/103910|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
33|CVE-2018-2822|http://www.securityfocus.com/bid/103883|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
34|CVE-2018-2823|http://www.securityfocus.com/bid/103902|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
35|CVE-2018-2824|http://www.securityfocus.com/bid/103900|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
36|CVE-2018-2825|http://www.securityfocus.com/bid/103782|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
37|CVE-2018-2826|http://www.securityfocus.com/bid/103796|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
38|CVE-2018-2827|http://www.securityfocus.com/bid/103914|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
39|CVE-2018-2828|http://www.securityfocus.com/bid/103797|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
40|CVE-2018-2829|http://www.securityfocus.com/bid/103884|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
41|CVE-2018-2830|http://www.securityfocus.com/bid/103856|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
42|CVE-2018-2831|http://www.securityfocus.com/bid/103863|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
43|CVE-2018-2832|http://www.securityfocus.com/bid/103843|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
44|CVE-2018-2833|http://www.securityfocus.com/bid/103887|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
45|CVE-2018-2834|http://www.securityfocus.com/bid/103792|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
46|CVE-2018-2835|http://www.securityfocus.com/bid/103857|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
47|CVE-2018-2836|http://www.securityfocus.com/bid/103858|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
48|CVE-2018-2837|http://www.securityfocus.com/bid/103859|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
49|CVE-2018-2838|http://www.securityfocus.com/bid/103911|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
50|CVE-2018-2839|http://www.securityfocus.com/bid/103845|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
51|CVE-2018-2840|http://www.securityfocus.com/bid/103786|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
52|CVE-2018-2841|http://www.securityfocus.com/bid/103839|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
53|CVE-2018-2842|http://www.securityfocus.com/bid/103853|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
54|CVE-2018-2843|http://www.securityfocus.com/bid/103854|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
55|CVE-2018-2844|http://www.securityfocus.com/bid/103855|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
56|CVE-2018-2845|http://www.securityfocus.com/bid/103861|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
57|CVE-2018-2846|http://www.securityfocus.com/bid/103790|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
58|CVE-2018-2847|http://www.securityfocus.com/bid/103904|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
59|CVE-2018-2848|http://www.securityfocus.com/bid/103901|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
60|CVE-2018-2849|http://www.securityfocus.com/bid/103835|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
61|CVE-2018-2850|http://www.securityfocus.com/bid/103916|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
62|CVE-2018-2851|http://www.securityfocus.com/bid/103896|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
63|CVE-2018-2852|http://www.securityfocus.com/bid/103915|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
64|CVE-2018-2853|http://www.securityfocus.com/bid/103906|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
