|cve-ids|ex_url|types|solution
0|CVE-2018-1437|http://www.securityfocus.com/bid/103401|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
1|CVE-2018-7677|http://www.securityfocus.com/bid/103420|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
2|CVE-2018-7678|http://www.securityfocus.com/bid/103421|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
3|CVE-2018-0787|http://www.securityfocus.com/bid/103282|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
4|CVE-2018-0808|http://www.securityfocus.com/bid/103226|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
5|CVE-2018-0811|http://www.securityfocus.com/bid/103232|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
6|CVE-2018-0813|http://www.securityfocus.com/bid/103250|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
7|CVE-2018-0814|http://www.securityfocus.com/bid/103251|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
8|CVE-2018-0815|http://www.securityfocus.com/bid/103234|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
9|CVE-2018-0816|http://www.securityfocus.com/bid/103248|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
10|CVE-2018-0817|http://www.securityfocus.com/bid/103249|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
11|CVE-2018-0868|http://www.securityfocus.com/bid/103236|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
12|CVE-2018-0872|http://www.securityfocus.com/bid/103267|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
13|CVE-2018-0873|http://www.securityfocus.com/bid/103268|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
14|CVE-2018-0874|http://www.securityfocus.com/bid/103269|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
15|CVE-2018-0875|http://www.securityfocus.com/bid/103225|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
16|CVE-2018-0876|http://www.securityfocus.com/bid/103289|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
17|CVE-2018-0877|http://www.securityfocus.com/bid/103227|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
18|CVE-2018-0878|http://www.securityfocus.com/bid/103230|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
19|CVE-2018-0879|http://www.securityfocus.com/bid/103303|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
20|CVE-2018-0880|http://www.securityfocus.com/bid/103239|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
21|CVE-2018-0881|http://www.securityfocus.com/bid/103256|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
22|CVE-2018-0882|http://www.securityfocus.com/bid/103257|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
23|CVE-2018-0883|http://www.securityfocus.com/bid/103259|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
24|CVE-2018-0884|http://www.securityfocus.com/bid/103260|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
25|CVE-2018-0885|http://www.securityfocus.com/bid/103261|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
26|CVE-2018-0886|http://www.securityfocus.com/bid/103265|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
27|CVE-2018-0888|http://www.securityfocus.com/bid/103262|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
28|CVE-2018-0889|http://www.securityfocus.com/bid/103295|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
29|CVE-2018-0891|http://www.securityfocus.com/bid/103309|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
30|CVE-2018-0893|http://www.securityfocus.com/bid/103288|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
31|CVE-2018-0894|http://www.securityfocus.com/bid/103231|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
32|CVE-2018-0895|http://www.securityfocus.com/bid/103238|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
33|CVE-2018-0896|http://www.securityfocus.com/bid/103240|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
34|CVE-2018-0897|http://www.securityfocus.com/bid/103241|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
35|CVE-2018-0898|http://www.securityfocus.com/bid/103242|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
36|CVE-2018-0899|http://www.securityfocus.com/bid/103243|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
37|CVE-2018-0900|http://www.securityfocus.com/bid/103244|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
38|CVE-2018-0901|http://www.securityfocus.com/bid/103245|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
39|CVE-2018-0902|http://www.securityfocus.com/bid/103266|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
40|CVE-2018-0903|http://www.securityfocus.com/bid/103315|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
41|CVE-2018-0904|http://www.securityfocus.com/bid/103246|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
42|CVE-2018-0907|http://www.securityfocus.com/bid/103325|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
43|CVE-2018-0909|http://www.securityfocus.com/bid/103279|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
44|CVE-2018-0910|http://www.securityfocus.com/bid/103280|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
45|CVE-2018-0911|http://www.securityfocus.com/bid/103281|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
46|CVE-2018-0912|http://www.securityfocus.com/bid/103285|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
